,summonerId,summonerName,leaguePoints,rank,region,championId,mainChampion,championType
21,EpUyWCQUIVoFBD-WnDdbmT-uElQSxrR4ZmFPdOUZ5uoj,Arthur Lanches,1275,I,BR1,17,Teemo,Marksman
22,HfZR-2BVF7Uf_CRxb2STCGXB0VMzjiQ9mlzavhMK8ovM,Tekkas,1270,I,BR1,7,Leblanc,Assassin
23,ftggk_rCoczQAqCOBPZFS3ZPiN5m3SU-IrlQgquZaJGFd8Qvz6MeqlCohg,yamäto11,1259,I,BR1,92,Riven,Fighter
24,hV1YD_7f385IogsH1MpYXvWVMVmuIav8GzWgAkAWVMeK8Yo,little zay,1256,I,BR1,412,Thresh,Support
25,b3Iq3nCUYEOnQzRnHo0GhfuIonfk2RCyvVSvLWioEI-T6i4,vrumvrumvrumvrum,1250,I,BR1,145,Kaisa,Marksman
26,VGJ5MJ_-0uIhEra_xG2f0mmdRiW0TLse15GlMXLQPQvDIA,Yupps,1250,I,BR1,266,Aatrox,Fighter
27,zfUF26QKOXFGNyQDpRIuarIXDkuXXug_hQoe6oD5Dx8FVb4,scuro,1241,I,BR1,432,Bard,Support
28,uBvEEbc_PPJ97XC9Ps0Di9p1Q1xzhnlRzaz99MDilNxJMQ,xooos,1240,I,BR1,412,Thresh,Support
29,_QqX0hzSo6CpKZDQM0tdsR26IzjUOASVJ8TYySbyYeUWJAE,AgainstThCurrent,1237,I,BR1,157,Yasuo,Fighter
30,9tYACjJMmSL-GU_L2JsAuoyquz4vPB8_dA9M5Z5EKbQA,HAHAHAHAHAHAYEL,1236,I,BR1,164,Camille,Fighter
31,rlEWnfLYEnuTMrho3q7Qie_ya0XPiI_wC1zr1PgJaIKc7w,polo surfistão,1233,I,BR1,64,LeeSin,Fighter
32,I1mgNmUE87lXufOojYlhY-EBagm_MK5lF40v0lF8T4gSOQ,ProDelta,1233,I,BR1,412,Thresh,Support
33,kkLFTawNRfV5S1qfdBQ20AlGjgrWNe_LCE4f-e3t3LCVFQ,KJ Allen,1232,I,BR1,64,LeeSin,Fighter
34,788-NspXGeuW_B8MYON_jLfco7W_7dLsuuJB59bEoO694KYduKn4MoG_FQ,ain soph sefirot,1228,I,BR1,8,Vladimir,Mage
35,gKqcTo8rpVxZ4uvhc5e1Nvvwtv6mw_x-mdGi-4rBXzDQMg,Minerva,1224,I,BR1,76,Nidalee,Assassin
36,w1n-tfX1VckXZ-pUPO-YBk2oTfeO_T-3XjYty_bVOj490Q,bhood superstar,1221,I,BR1,81,Ezreal,Marksman
37,tETMaGa1cHx5GZaROvq82EJq7qRmi3xk5e-SoMzzPb5OGLg,who am l,1210,I,BR1,555,Pyke,Support
38,Qyt2ThVfQ_IM1cP50Wl9UkEo8-nA11gk_CFtqWIkMhFxzg5z1iv0lPsQAA,asdqewzxc,1206,I,BR1,104,Graves,Marksman
39,2MJ9WuCRbYmm8ILPxp8_vmA-jHzhpAeqj8Eio7ZkHkntqSM,Furry Slayer,1201,I,BR1,81,Ezreal,Marksman
40,VAVlnKVZHcaemCCcxkT3QsUwJUjJ2TLsqDBt8Oc63PP2Yw,Riiquee,1201,I,BR1,412,Thresh,Support
41,r02DQwJkN1QorUL5W38BdoUcLZ3cAblqmHFz7zAHs4zgkCc,fearless33,1199,I,BR1,43,Karma,Mage
42,cOCQoweLM-dnFZivVEDy9UW3kxexhPp9clHIgbu4EOeTZA,   ASPEXY,1198,I,BR1,141,Kayn,Fighter
43,paVxNMM_XsgwguZrRyvwPBWQiz4aaOyQrBuYI4UXkBoB,Hauz,1198,I,BR1,134,Syndra,Mage
44,sGD2WMz0dMBMCJdmr0eeTuGfa53H-H3TO4UXFJzKSO_O,7ay,1197,I,BR1,164,Camille,Fighter
45,xA2-nH49b4YzrNgyJ8qVHvDu_gdJflVIWbWIuVWhZnfYjraKZuyi3k2kiQ,Rustten,1189,I,BR1,235,Senna,Marksman
46,I054tC_EpZnzUZ0snsBPrk1-zJHnJjthz8wv3WM1BNsQZeg,Griba,1187,I,BR1,43,Karma,Mage
47,pHujL6k4T4JxDZ3vLwf_eneXGkSv1DMIWT95T5PJ2Dz5,wishshhh,1182,I,BR1,7,Leblanc,Assassin
48,8KG_H3zPDx-zHuILq_WezoWGlKWgofmTs9fmq0N8M9Ed_w,192571,1182,I,BR1,412,Thresh,Support
49,ee97l_VxfpiUp_b6fJNP9qWFqeW-4I3B4W1TeQychG8iezk,RANK 1 SERV YIOK,1181,I,BR1,38,Kassadin,Assassin
50,dT5PJvE076na-iQYGhLK8YoqlQiPXtrIvIZ_2FlOEY_IcA,polo capalot,1180,I,BR1,126,Jayce,Fighter
51,Rur-HPAMzsHM9rXerDLZdm-s6frlxdHjGg4dfKw17Q46Xg4,T1 Kêria,1175,I,BR1,43,Karma,Mage
52,M5a5tfcHwuzFus7Yd8F1P0JKDJPKC5AbMJMRre-K4bCsQSc,LBR jiayou,1175,I,BR1,268,Azir,Mage
53,K6-or5mzQcV8OHgu3KoEMkWWXLx0TDDlP5ldluFgOxLqng,1 sub 10 flexões,1167,I,BR1,92,Riven,Fighter
54,gyQrzo1TTztAQ_jJytpmthlB0jQItAAGpTroaRu9ktpjcaY,love jungle,1164,I,BR1,141,Kayn,Fighter
55,Nr7Lf6SUSQGPqGsM4WhzR18YK_nr7OCm_gjv7EB__OBi-tl0drTubejARQ,LBRKrastyel,1164,I,BR1,103,Ahri,Mage
56,2wCJuPQfy80HcM78_jWOGYkxSzKAZG0FxQ5k1xBhPj8J4VDShr286SdoCw,griff11,1158,I,BR1,222,Jinx,Marksman
57,KrT2eir03d67LixHiyeBpQi6_rQNS3D2Wv4nBmqVizrl8Q,Qats,1151,I,BR1,55,Katarina,Assassin
58,jduB09Z_Jhj9nVoxaf4rldHkXhM9STQNKlhnUnbriFGCG0Q,CAVALÃO DO AMASS,1149,I,BR1,64,LeeSin,Fighter
59,B4I8PYm43SXcZIbawkvSwm3O1hB74Aq5wtOzlcC9x7s1,Grevzin,1141,I,BR1,3,Galio,Tank
60,nsv73hozDD9oQ4zrvWrN3XpXPA7rCVyWFYh743X2edbmMK8,rhythm game,1139,I,BR1,92,Riven,Fighter
61,W0GnLNPAU9IH5MAAglUgwAyirUexF1dTCOZxB2_AyJ5V3t8,Psychedelïc,1131,I,BR1,114,Fiora,Fighter
62,BwzsWqsBYEwUx75QAoZfTcXZ7frNQ5uxQvjI6dS-VeKshA,RAV3N,1128,I,BR1,67,Vayne,Marksman
63,-S-FYQ04vBRlWIYnI3P6q2jQujM-6YEfcWxLpY1TZ3pA5GQ,Midoriya,1126,I,BR1,350,Yuumi,Support
64,F7IfaDZHbXiLvwbM4j6-jG7t38TC4NQdG3SSPZ17U2c4bUo,Ploze,1125,I,BR1,136,AurelionSol,Mage
65,XdXnMqbmSOEH7Fy5qZFBiNzAnguU9kisqbTBM1J72XEAsN0Hy3WErPS8OA,Bae Eo jin,1120,I,BR1,103,Ahri,Mage
66,2krFhdx9IT3AUKDfZoeK9qAZ3UYCng8G-8-J0C3teIw9PDA,DUDAO PUTIFERO,1116,I,BR1,236,Lucian,Marksman
67,EeNItk7hFL1MaVmolkKz-k7hztECUXveO3J5KAnb3sBMhDI,frostyyyyyyy,1113,I,BR1,117,Lulu,Support
68,We_6zbhDgMXlWICy1LJcviQbg1p8TfYv2gQrczrYKGWSsw,bob o construtor,1109,I,BR1,55,Katarina,Assassin
69,vMjLpkdg1U5HRNEZX0h9ztF-Gwn6JqopQJbkDAPFm4aChA,Ryuujin,1108,I,BR1,236,Lucian,Marksman
70,K6BK39wjyNns0UJluNMa0HGRnjv5jOmVFIizuMUckYLsYNQ,houndin,1101,I,BR1,64,LeeSin,Fighter
71,a2YIArz_565RcbLePd3G2kAE_b-rLcXDxDFoM8_ibw0zMu0,Leving,1099,I,BR1,238,Zed,Assassin
72,TGBANG-jUytlHyrQui4lwCcJk4vyHmVQ7eLuWhDf7B3U-A,life is a movies,1097,I,BR1,92,Riven,Fighter
73,qSHBP4RdRnvjQ48lTqJ-vqIClZiikAUS-R7xiyw9KCIioQ,O DESTRUIDOR,1096,I,BR1,126,Jayce,Fighter
74,E-ybvzGcFclBjVFJjFG-WYG4puTOpsbgPtrqx2qT_C0GKLM,jg8291764,1096,I,BR1,107,Rengar,Assassin
75,VG4hABFp0d3_rq7KiYC9x2TSP8auH7mX5Lo9G-9LMt2R,ROBOCA DE SACOLA,1095,I,BR1,164,Camille,Fighter
76,ETbrMc1U3bSEbsGo6Sg8YW_wKQKa9IWAJt46isbBunVoF5I,NASHE PUNGERO,1095,I,BR1,236,Lucian,Marksman
77,ini4MbeQGkH8IAaoRYp0Uu-o2gnS3e0yadyV2OH2pBCtfg,Brunox1001,1093,I,BR1,154,Zac,Tank
78,sYmn0rX02-NA91tGVk_nf0kWquiWVIXljt7j8VXdU3zhs-bhS-FSmR61Ng,yse,1092,I,BR1,157,Yasuo,Fighter
79,Qn-Coj320TNE9Vpq-rVO-9st7iIDfPO9cxJS_1swt2h_,polo cavalot,1090,I,BR1,43,Karma,Mage
80,9t3b_ySDTHuFw_adD5k9g69eU0aL3-_zqVsy2Q77WDpEPsw,Fullmute Titan,1090,I,BR1,254,Vi,Fighter
81,qJe_BycuTmznC1_m-hcf1J1kdRVqF2JswL-_JzvIKCu8fuZAeMXn-UDQRw,hunjiking9,1088,I,BR1,126,Jayce,Fighter
82,fzkhpq6re3luf8Ez9BxDdhiP1zZK9SY0Hlh7yC-Cw3flrXA,EloHigh Kayle 1,1081,I,BR1,203,Kindred,Marksman
83,TCjqzY_ele1M_bcEXpSF0IqT1IH-wnRKUV2zEhCY0XgRvA,LLL BRANCE,1080,I,BR1,236,Lucian,Marksman
84,ivvs_o4gljurEmbGxd3iCxQa0y79g88JO-4cP0D5l0mRzKg,its the ZECAS,1078,I,BR1,79,Gragas,Fighter
85,0__nZ5O0nyxhMe85Hzd_LVy9zHTjdAEKAoMnFq3mvUPQlMh4kohIoW8LQA,ladin mt pogers,1077,I,BR1,51,Caitlyn,Marksman
86,zYF22DinfQSWUOkxth7Ep1QPTvK4d9mZ8Y1Ukid7_943ErI,Fuuu 9,1076,I,BR1,142,Zoe,Mage
87,o04ZGdoJL0V6liP4SzIbFoy2szuoscRlyBnLAVYhwLKjLuYcD8QB_FbaxQ,ALEJ0 ISAKK,1070,I,BR1,777,Yone,Assassin
88,DT4Yv0FugUDbTPgwQHD2zyTXbntDHaLZAsKt2eSNjO38QQ,FLA Ancrath,1066,I,BR1,64,LeeSin,Fighter
89,mgjdnZD6lFR3Ut7I1QwSVeyQjD-yt4vi4m2-1t_5Q0MuzQ,LOUD Ceos,1063,I,BR1,412,Thresh,Support
90,is_3xfQU-fu-rIz782VRPoQDa7q6bzu_lEHWm8tTekhG,Yampi,1058,I,BR1,64,LeeSin,Fighter
91,3zTlwV0n5k0q1jPZmb73eghu2zwiECUOHyhUpLWvUhhm,banca avaliadora,1057,I,BR1,34,Anivia,Mage
92,BlpMFTa8n_jIC8YOK9z4DMZN_--WmYmW_CC4KjRLyMtagg,Gripen1,1057,I,BR1,119,Draven,Marksman
93,Imh7sux2j0nPX2QcEUQQN47y2ITPm15sLuyu3e-G4RdrnQ,7huNderZIK,1056,I,BR1,103,Ahri,Mage
94,w5oCP9r5_GapLhYq_Dxpl69BCKzqvJdC1G5GwQkxsTSAUg,EvoIving24,1053,I,BR1,64,LeeSin,Fighter
95,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
96,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
97,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
98,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
99,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
100,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
101,q3cKcRvgWRssECnK6MsrQTHczbfu5blw-RHJrGsKpX1oFA,YounGatti,1053,I,BR1,517,Sylas,Mage
102,U-L5_AwGfR0uVKlsIOee-E97TQF5GVU4GNbj4WTtxdzv6IJ409VRKvhFsQ,RFW Blazar,1053,I,BR1,222,Jinx,Marksman
103,jNcWWcMBPKC671hvgZTpninho0evrsTtmNXNXlgc-MyGBng,Keishao,1052,I,BR1,111,Nautilus,Tank
104,HfFZiJFKA-Q5rpzbo6VT8bHlo0JoXLyRv_S99gizOzrC,SkB,1050,I,BR1,164,Camille,Fighter
105,wl52C3bmM6AzKNbd3xJag12ApEGB0Y9LyYYw9juZXnxaTg4,Mandioguila,1050,I,BR1,30,Karthus,Mage
106,DFRa6eCZ6wCVg8eamc7BqHGDMQTheuM58UNNuYvrlagNLA,Kouyx,1049,I,BR1,154,Zac,Tank
107,H41WISpllU4SOeH2Aipg7mDgM9FuZc_9yjWkSCMqaOswtQ,GIVELOVE U NOCAP,1048,I,BR1,64,LeeSin,Fighter
108,NMN8FV3zSDD6JHgJr0NlmMiaHLnrsYdq1-hbLY_ABbSU0OnW9zs4_un4Sg,hasbulla lover,1046,I,BR1,122,Darius,Fighter
109,N08MGjM0UvTzaef_KMij60fJcaAFiRoThHGOvu2o_t3w,micaOxD,1046,I,BR1,222,Jinx,Marksman
110,AjwNjxVcxMgHUzntlAOA8kbjNBNeLMzAw5Ur1waGVvaQ7A,Dizin,1045,I,BR1,64,LeeSin,Fighter
111,woNJB30tZyuUPt4ce1QVXshZQmla2qfk93v0bLFBHjmMqhU,EloHigh Khazix,1044,I,BR1,35,Shaco,Assassin
112,OWKRguXuqdaYp68hKHmbSjRYXj3-wC9XWT0C-ViE8Xx3haKgZZIyLK1uyw,EloHigh Yone ,1044,I,BR1,777,Yone,Assassin
113,o9HDu2JXmjXJOmlyuDfDY9uzver_mhPXLG_PIq7rGe0_Cs4,zafurebo,1044,I,BR1,92,Riven,Fighter
114,2KQi8TcLgo4ELvvTFyW_6_0xLFBelsdSjMexncvlC75xS4-TANJN-4MX_g,jyiyivt,1042,I,BR1,84,Akali,Assassin
115,YdX39Y4gUwp2gZr7yhdOYjfrZSG33XAWNRCNQrVEEf1k7Q,Kyrië,1037,I,BR1,246,Qiyana,Assassin
116,8JsHtmG3L0vvvaaQyWyfs0b63kSoHCG4yicZF60tmbiATlARwomt3M2mUA,TOPEIRA 694,1035,I,BR1,64,LeeSin,Fighter
117,Hse006kWV3uIgrrj_IkOuHvDWZt8d_LmOeK_e8TIw2ZOAmo,Drakehero,1035,I,BR1,64,LeeSin,Fighter
118,_bzavA1ZIu98oFHyApfaeL2HfKZsUkrYuUHeuwsAO_cM,Mystr,1034,I,BR1,119,Draven,Marksman
119,itOjMVr3iUsQ7g6mohHBc_aPtxLOLVEtJCRHMrsIvxzgmPs,yazi,1033,I,BR1,67,Vayne,Marksman
120,qVhrLb-Mg1-72Yk8N3qWSAvPrgwzwR9YKSBcbujW7GiKdvQ,kazeeeeeeeeeeeee,1032,I,BR1,39,Irelia,Fighter
121,jSJ8_qXWiK5KKpGidRTqwz67I1M9mFcGBtpr36AX01nFAg,Adrizera,1028,I,BR1,117,Lulu,Support
122,tw48vTQkyD7q4_NiTGshTKyT4la9t49_0LG0h4R6qd_IkQ,Procurando Nami,1027,I,BR1,267,Nami,Support
123,4r-HdURCrT4o4j7sqQfhkVQVvI42QlJyaeRBL2TI2BsEdfQ,AAJONUS VIVE,1026,I,BR1,4,TwistedFate,Mage
124,nENcXYChwskOjBrqk6HflpMcd9wQGlDWusxnr_5QFwIx,Lynter,1025,I,BR1,55,Katarina,Assassin
125,UEcCITw_HHxbhkBOxP_n8cSXTRK1FbSowf6woYMMRHIB9F0,RNG Galimpras,1025,I,BR1,81,Ezreal,Marksman
126,udsIk0oggd4XUE54a1ZSpKws0KD0kIpf4oJ4owyLZkMFJDgmv3e6Lfqo1Q,sérjão,1024,I,BR1,266,Aatrox,Fighter
127,9rx-l_NTcX5kvta6ZokVeIQUs99BpDK6rqo7U7jRQOSA,Dajar the Legend,1023,I,BR1,121,Khazix,Assassin
128,7fTWYFajmi-RLLXnjiFczDGQEmn9mFOuwpwOU2miHFIQ7Zk,fur jg3,1021,I,BR1,64,LeeSin,Fighter
129,rWczUTD-DSAJAP1tUi80oQDqH-9vOoLJFixLGrB5TmAZkkJs6zxszssdLA,abwhuok,1020,I,BR1,64,LeeSin,Fighter
130,WKZPVru3mQvAsZu0KRdNFqxyDQm5hY7LeWrvGYyjc6K4UQ,Daenerysz,1018,I,BR1,99,Lux,Mage
131,5dilut0SUSYVyv-ueyEMse3guQLrAyYoYzDtt2P7DCtJ,Atlanta,1017,I,BR1,21,MissFortune,Marksman
132,nR6vOtnRBfux7vHVz046pgePasORYopmrZAyr4H5bfJgJA,1nside,1017,I,BR1,412,Thresh,Support
133,hKJvPOd93B_ehuox1RShd4Vo5L-7tmQkiQD04UXeaSVHNsc,fernet and coke,1017,I,BR1,81,Ezreal,Marksman
134,mxZZIiEd-CjyRCJzzkyOjC85SIZzORFM969A18umfXqgIAA,GuizorPET,1014,I,BR1,14,Sion,Tank
135,slkO8nBs6sJyAzVEe1SRwVmWuYhOW7TNx94zlXvxUOzmfbY,nagasawa,1012,I,BR1,84,Akali,Assassin
136,ZIUUMek_uYCgdf8TVU4xk2Ldcq0CsZCirvFDMP8ciH-E8Q,goku chan,1011,I,BR1,7,Leblanc,Assassin
137,a99-rYlQ9BwOV23pw9eHUQ4MkDKl1TVLLT1g9II_EISCKg,clbc,1010,I,BR1,45,Veigar,Mage
138,EAF5p7ldVjWCs7UKmQdObbFT19rCvNaHE5U0cW8b1dh-WX1xPUUoeAMWqQ,qiyanazedzed1,1009,I,BR1,246,Qiyana,Assassin
139,UZdkk33Oc40x8rzVy7hEJNCNg_OwDHbE8-4lAjn5qMT_tg,WINNERS Q,1007,I,BR1,92,Riven,Fighter
140,hHUlUqq-hbpMjzX1Ir9sqfCYgRpDSUbmGxfiVW2R8DhUETFjKbX4KO_WMw,guiven,1005,I,BR1,39,Irelia,Fighter
141,-FnWT1zbRxMY7ZfcPTMEXZ0BTLsK6ijJC-TT_5iuE_XYp-E,wilian bonner,1004,I,BR1,157,Yasuo,Fighter
142,DWsIlr17F2gGP0m7Xds_iDT_F0YJGQ4xvvF40YyU6Yr9,DupIo,1004,I,BR1,122,Darius,Fighter
143,gRMn7ophSciX5ZqUEObdbkt3XfYDScZA992osc4o6YzzJC8,Hyoga de Disney,1003,I,BR1,203,Kindred,Marksman
144,jIT5ZmD4zQ_SR2fCBgMpXWYmESZIlCMC4oiiToftxJ-4mm0,RISE nZ MIDKING,1002,I,BR1,133,Quinn,Marksman
145,3jt5a6tcxLBHFLDpglZL7NH4OHN1ar1fjhyUiKkbnNN8tn3y_qCnK-EunQ,playboi carti 29,999,I,BR1,126,Jayce,Fighter
146,zF3Ek9VXqOkqBuQAdwRqsiA5I6IUQvhuWsUc67AFeWHhbas,Hiroshi noharaa,999,I,BR1,64,LeeSin,Fighter
147,K7ZNapk-0ipekHz1dfabyqqx-x-cXt-YRpV6jMhLwDunqmGgsutkr47ygQ,1Lonely Mid,997,I,BR1,777,Yone,Assassin
148,Rk_4Du02hGMiONIRxACbWLczM27Tq0C-es8P5_0THRpS,HHAHHAHAHA,996,I,BR1,35,Shaco,Assassin
149,jdLXNV-MS-dkFgdwFB8dTTflOh5NYuA3lD4XI-aqiWQapw,bounty3,994,I,BR1,412,Thresh,Support
150,AGHy3AvZ4uDr6nLjfcCATpyeJRq48Xv4blup5btc4aRsYw,Senna,992,I,BR1,235,Senna,Marksman
151,g3_BcZn3CRAFpPxC9OekijNlork9hOxuTBkaHFWOlOTr,RNS Vitin,990,I,BR1,67,Vayne,Marksman
152,MdhMctM_UzZzfJmZcxYsF6Uqztoa3KuABpa-Xm9Iis04B0I,Washin,990,I,BR1,157,Yasuo,Fighter
153,poByDXjfGR8cLonQncozVRlXJuzOF1DxRO0Jrt81rDT-CQ,Vento,989,I,BR1,40,Janna,Support
154,9yXkA9xU2E2kFvA2VbfVTnPe_mGeYzhWsdp8sJ6-m6SX,whisperingsmoke,989,I,BR1,104,Graves,Marksman
155,hRC4XKQfRJmjk28Dw1Jv8un4rS33jpIch6zW-UCtO1otTlk,crawl,989,I,BR1,238,Zed,Assassin
156,iZPng_-AbXs5nN6FzNIamEe1F4MM8AdyMhI6zx5qt5xb9w,Nukan,988,I,BR1,245,Ekko,Assassin
157,2RcGCEeKwiEmOUSehBhBfDlG7qOkAjz9_DR1AyQranB-Tw,paiN caca1,988,I,BR1,64,LeeSin,Fighter
158,FQfEozSJXy_EsQ3tOXjc4IvTQ8uTq21v11EnFtb9bwCmalx7zkaOk6HH-Q,paiN Wizer1,987,I,BR1,39,Irelia,Fighter
159,C776TfcG17tCkdcbEniYd9YMAUpiUByt91fpBva1U2YE-wM,Pior do Prédio,986,I,BR1,68,Rumble,Fighter
160,807eXhANps1BPANhXSgjwdZWzndRwT0d8ZOHVOnkFERIyQ,Manjirö Sänö,983,I,BR1,67,Vayne,Marksman
161,HFU2yBJQ958Pxci6vX0hzEygHa_b3O6k7naEL8j6S0F1a60,Nínjá Sol dela,981,I,BR1,64,LeeSin,Fighter
162,wK6gv2ahuqREXE_vUvLxlRaXTB3rK7ij6UEO5ComjuYcdbN6ZGmQaNvLIw,pol granch,978,I,BR1,143,Zyra,Mage
163,oRkZ8dsr47Lf2cqfBmQ04veIfDDFiVGlePKhTR15jALu3w,scamber,976,I,BR1,412,Thresh,Support
164,MmzwdjtN3GpnO90uP0-o3ADb0LlCju0rNknMWn7obCZKk4uqxlJdHRp6vw,alek kzh fan,975,I,BR1,64,LeeSin,Fighter
165,gPLmFuhf9x3usI9SOCj5Qr_iHW3ZRKDVTNUbRa11ygclysVr1WrWgsK2FA,Dragaoheroi,971,I,BR1,64,LeeSin,Fighter
166,lPSax9QC6ChoZx5RfagWHdKjEZv3RZTByyyBRkRDJWMA6aQ,almaty now,971,I,BR1,64,LeeSin,Fighter
167,j9TaWsl38H3bJA8MXaexnsnqN1Wl1XK_ACwf99_QFI4IIQ,RISE Miyata,969,I,BR1,164,Camille,Fighter
168,u9xNlfPzt4zZFOqB1bm9XhaLtFqDTzQIJwADyfDU7GbDqg,LOUD Beenie,968,I,BR1,81,Ezreal,Marksman
169,tARUWRuHhnCGl0jxrdI1_EpzR6-Nmo-k9KVBOgc2Id0aeZA,Tutsz,967,I,BR1,238,Zed,Assassin
170,o_UDvYy6jy_0BxOh9Q95q_lw5AY452XVtr54LFLqtgHx0A,focused murata,966,I,BR1,121,Khazix,Assassin
171,bpK7ELkb7kPEtuy_NJTPofgytGWoL9OMlKhrauyRuxi_rWQ,Ledimo,965,I,BR1,92,Riven,Fighter
172,_tDF7ixFrrkqBrEndLNAgPF61Rtn5UJQ0BdSK2z1pJzGgg,Chanhee,964,I,BR1,267,Nami,Support
173,a7LFZBzgnxWbNxtZ7aOhxzpGL-Z7lbyTcR0NLKNYKNtq6AXP_dbGDDbgHw,emiIia,964,I,BR1,350,Yuumi,Support
174,PLppIPNDXRCT1Px7OySvkxdiTk6dP5jfNJFi75dc15tJ,Jacoba t empurra,964,I,BR1,64,LeeSin,Fighter
175,Btwe0e4G6ZfE4icqFNxhLL0HfmmqvATaT9bvrbo7yGSU,paiN Trigo 11,964,I,BR1,236,Lucian,Marksman
176,RKcQfyKb72bN9ggLbY_weuG36JTDVkwrqogjKLeOWk-W,Kakuzu,964,I,BR1,107,Rengar,Assassin
177,66VBdjO6SAqAJH9XPvlhC-5y-g_BwxS0WAQiXUUlWB07Cw,ashesonthefire1,962,I,BR1,164,Camille,Fighter
178,4Px3FANMOuAvLT-nUTmz4RsjKtPTyFBYzxhG50bC8Nw6q4w,paiN anato,962,I,BR1,64,LeeSin,Fighter
179,v3AxAM5tXxf7FaEzCTvpbu9VDICOV9xp_QqbqzQvEzFl,HANMA PINHO,962,I,BR1,81,Ezreal,Marksman
180,s6DjpMUJxfdlhMNmJ-QarLmY6CO8vShi2sphjQvvNSgfZg,ELOHIGH PUMITA,961,I,BR1,76,Nidalee,Assassin
